,fap,ifar,stat,snr,timeslide_value,L1_snr,L1_start_time,L1_trigger_time,L1_template_duration,L1_trigger_id,H1_snr,H1_start_time,H1_trigger_time,H1_template_duration,H1_trigger_id,mass_1,mass_2,mass_total,mass_chirp,mass_ratio,spin1z,spin2z,f_lower,template_id,injection_mass_1,injection_mass_2,injection_geocent_time,injection_chi_1,injection_chi_2,injection_luminosity_distance,injection_theta_jn,injection_psi,injection_phase,injection_ra,injection_dec
999,2.4615503e-07,52297.207,12.724907,18.333258,0.0,13.48847,1242387074.6503906,1242387076.6503906,0.47550023,17057212,12.416501,1242387074.6430664,1242387076.6430664,0.47550023,15121444,43.798405,15.123759,58.922165,21.80796247349825,0.3453039,-0.9236533,-0.9236533,23.4,26791,45.88296890258789,22.764039993286133,1242387076.6587117,0.9147455096244812,0.18118280172348022,326.1619873046875,1.4800620079040527,4.34396505355835,1.3767499923706055,4.07045316696167,1.0425519943237305
1000,0.96905667,0.0037038864,8.054677,8.243796,0.0,5.9032764,1242387575.428711,1242387577.428711,0.28392294,6438811,5.7542596,1242387575.4326172,1242387577.4326172,0.28392294,5705959,122.10904,29.229992,151.33904,49.60845662720056,0.23937616,0.9519551,0.9519551,26.1,40998,17.85508918762207,125.9395980834961,1242387577.4150684,0.09736602753400803,0.9484682083129883,2176.39501953125,0.6358634233474731,5.284197807312012,1.1840349435806274,5.212399005889893,-1.2252459526062012
1001,2.4615503e-07,52297.207,10.95425,11.909612,0.0,9.320395,1242387782.975586,1242387784.975586,0.6557628,972060,7.4141135,1242387782.9746094,1242387784.9746094,0.6557628,861334,43.28218,16.885082,60.167263,23.036438555863533,0.39011624,0.16050999,0.16050999,24.6,23964,17.423259735107422,48.569698333740234,1242387784.9525192,0.266755610704422,0.32392188906669617,1396.614013671875,0.9371927976608276,1.4402029514312744,4.81177282333374,2.5564260482788086,-0.8759821057319641
1002,2.4615503e-07,52297.207,10.062122,17.739584,0.0,15.401037,1242387974.359375,1242387976.359375,0.70561785,7259753,8.80346,1242387974.3618164,1242387976.3618164,0.70561785,6435827,90.57288,2.6024103,93.17529,10.704446741285464,0.028732775,-0.91938263,-0.91938263,20.4,134727,103.01210021972656,8.897705078125,1242387976.3714545,0.8601667881011963,0.27137041091918945,301.5154113769531,2.315392017364502,2.1774489879608154,2.3976759910583496,0.10314390063285828,0.7779585719108582
1003,2.4615503e-07,52297.207,16.654774,36.454506,0.0,26.32081,1242388190.0761719,1242388192.0761719,0.18616992,9985959,25.221933,1242388190.0791016,1242388192.0791016,0.18616992,8852346,68.746605,43.74673,112.49333,47.499906677355966,0.63634753,0.25453323,0.25453323,25.3,24393,53.8402214050293,58.04148864746094,1242388192.0558295,0.774066686630249,0.23391400277614594,780.526611328125,0.5921074748039246,1.1401900053024292,5.071845054626465,3.6786859035491943,-1.408627986907959
1004,0.0020336316,6.3237257,8.944117,10.332015,0.0,7.0916986,1242388890.1865234,1242388892.1865234,0.23680045,15761232,7.513877,1242388890.194336,1242388892.194336,0.23680045,13972193,79.71832,30.00299,109.72131,41.607863946685605,0.37636253,0.33166462,0.33166462,24.9,24436,71.92233276367188,13.044899940490723,1242388892.17586,0.1901441067457199,0.09386517852544785,710.2891845703125,0.5188199877738953,1.4068690538406372,5.85409688949585,1.0611439943313599,-0.12363419681787491
1005,1.0,1.6091716e-06,6.3072424,6.7470865,0.0,4.7842574,1242388964.8276367,1242388966.8276367,13.681842,4850591,4.7575264,1242388964.8217773,1242388966.8217773,13.681842,4299166,32.255287,1.0448345,33.30012,4.093547978507085,0.03239266,0.93407446,0.0,25.2,157739,6.34063196182251,4.746077060699463,1242388968.6686075,0.17311879992485046,0.5178611278533936,333.4460144042969,1.3825210332870483,5.313322067260742,4.183688163757324,3.481416940689087,-0.1450084000825882
1006,1.0,9.778129e-07,5.656854,6.24672,0.0,4.444477,1242401484.947754,1242401486.947754,7.3904247,2073415,4.389548,1242401484.9589844,1242401486.9589844,7.3904247,1839107,81.83578,1.147486,82.98326,6.306904517289769,0.014021813,0.983486,0.0,25.1,105309,107.96589660644531,28.774429321289062,1242401485.201209,0.5013858079910278,0.799267590045929,1706.0660400390625,2.0553441047668457,3.9114179611206055,2.087188959121704,2.8042221069335938,0.13351470232009888
1007,1.0,9.778129e-07,5.656854,5.9975605,0.0,4.041815,1242401573.4824219,1242401575.4824219,6.1537795,3328565,4.4310794,1242401573.4941406,1242401575.4941406,6.1537795,2950348,10.165845,5.292748,15.458593,6.319181434066542,0.52064025,-0.2455361,-0.2455361,24.8,21968,3.390152931213379,122.7029037475586,1242401573.8123395,0.46408548951148987,0.355299711227417,1951.3680419921875,2.800398111343384,2.5742599964141846,0.38628000020980835,4.62056303024292,-1.0826690196990967
1008,1.0,0.00068265677,7.830051,6.8189015,0.0,5.017198,1242401676.5722656,1242401678.5722656,0.15055342,15959524,4.617915,1242401676.567871,1242401678.567871,0.15055342,14147661,144.64798,48.985844,193.63382,71.25798451791249,0.33865556,0.6899565,0.6899565,24.8,31906,115.42449951171875,30.50901985168457,1242401678.5564938,0.14187580347061157,0.4334574043750763,1575.239013671875,2.275089979171753,1.7139379978179932,5.043440818786621,2.60233211517334,1.286605954170227
1009,2.4615503e-07,52297.207,23.238766,27.207985,0.0,23.379475,1242402278.2973633,1242402280.2973633,2.84143,10940643,13.9167,1242402278.3012695,1242402280.3012695,2.84143,9701208,18.364767,6.923175,25.287941,9.593823800076265,0.37698135,-0.9845315,-0.9845315,23.7,21823,5.036293029785156,29.337970733642578,1242402280.3138242,0.5699493288993835,0.29219138622283936,144.3383026123047,1.156322956085205,3.947643995285034,2.0792019367218018,1.0340100526809692,0.6781120896339417
1010,1.0,2.8806542e-06,6.728176,7.0899687,0.0,5.010931,1242402374.1523438,1242402376.1523438,4.371737,697841,5.0157976,1242402374.1450195,1242402376.1450195,4.371737,617556,15.791844,5.3457336,21.137577,7.77773349518459,0.3385123,0.04870376,0.04870376,24.8,18154,4.5116400718688965,7.00576114654541,1242402376.337126,0.9725670218467712,0.16257649660110474,413.6964111328125,1.324383020401001,5.351531028747559,3.266726016998291,3.336482048034668,0.5779762268066406
1011,0.0015864404,8.108094,8.974176,9.337942,0.0,7.7134223,1242402486.6152344,1242402488.6152344,0.41541722,1251071,5.263106,1242402486.6157227,1242402488.6157227,0.41541722,1109129,42.66627,33.319523,75.985794,32.77355832996226,0.78093356,0.7463292,0.7463292,26.0,31522,30.1524600982666,42.30113983154297,1242402488.627746,0.19317269325256348,0.9849727153778076,2192.552978515625,1.2521849870681763,0.821550726890564,3.669127941131592,0.37917768955230713,0.7504295706748962
1012,1.0,1.9716272e-06,6.4962845,6.508982,0.0,4.2902203,1242402883.8574219,1242402885.8574219,13.294126,7394764,4.8949833,1242402883.8603516,1242402885.8603516,13.294126,6555971,27.092613,1.1883914,28.281004,4.115165272770033,0.043864038,0.5874851,0.0,24.7,154366,26.619060516357422,60.00339126586914,1242402884.7840586,0.8045825958251953,0.6186795830726624,6028.89599609375,1.893470048904419,5.0883049964904785,5.318647861480713,4.2222371101379395,0.3408474028110504
1013,0.9846509,0.0030821525,8.031148,8.623433,0.0,6.712061,1242403381.6425781,1242403383.6425781,0.90372777,8230597,5.414041,1242403381.6469727,1242403383.6469727,0.90372777,7295757,28.365236,19.55472,47.919956,20.43240653169368,0.68939036,0.8781441,0.8781441,26.0,31865,14.982839584350586,31.429529190063477,1242403383.6438112,0.021669819951057434,0.7941011786460876,937.2935180664062,1.1794209480285645,5.432707786560059,3.5149619579315186,1.8941930532455444,0.5003712177276611
1014,1.0,1.5011921e-06,6.2262354,6.5239463,0.0,4.4811063,1242404180.1064453,1242404182.1064453,16.637106,18853076,4.7414722,1242404180.1044922,1242404182.1044922,16.637106,16712813,24.797956,1.0049729,25.802929,3.5942505891077468,0.040526442,0.99791056,0.0,25.4,428373,54.28804016113281,8.47774600982666,1242404183.4209838,0.148499995470047,0.06690306961536407,3623.055908203125,2.790602922439575,3.004884958267212,4.515034198760986,2.3315720558166504,-0.17132839560508728
1015,2.4615503e-07,52297.207,39.149715,55.87014,0.0,54.098507,1242404386.7958984,1242404388.7958984,5.0803237,3574778,13.957948,1242404386.7993164,1242404388.7993164,5.0803237,3168722,9.684933,7.0195837,16.704517,7.1594225818921995,0.72479427,0.7308196,0.7308196,25.5,21517,7.682004928588867,8.837077140808105,1242404388.812814,0.8157343864440918,0.6671565771102905,31.507780075073242,1.6029900312423706,0.17780940234661102,1.3788549900054932,0.243708997964859,-0.07473748922348022
1016,2.4615503e-07,52297.207,15.675526,18.639286,0.0,16.259048,1242404471.559082,1242404473.559082,1.5852547,3290154,9.114074,1242404471.5639648,1242404473.5639648,1.5852547,2916165,21.036316,11.017011,32.053326,13.117330206305958,0.5237139,-0.9157016,-0.9157016,23.8,23575,7.54646110534668,36.78181838989258,1242404473.5744832,0.2409411072731018,0.19149239361286163,358.8078918457031,1.040153980255127,5.050800800323486,1.0739519596099854,0.39661329984664917,-0.051132429391145706
1017,1.0,1.1844561e-06,5.831721,6.965751,0.0,5.2076936,1242404664.7392578,1242404666.7392578,6.7402644,14007844,4.626188,1242404664.7504883,1242404666.7504883,6.7402644,12420367,8.297695,5.8591228,14.156818,6.051749100974121,0.7061145,0.6827424,0.6827424,25.4,24692,3.5124928951263428,29.00333023071289,1242404668.5340977,0.48304489254951477,0.13577690720558167,313.9371032714844,1.1221339702606201,1.0003210306167603,5.0566887855529785,3.8364999294281006,1.0998769998550415
1018,2.4615503e-07,52297.207,13.486661,15.01925,0.0,10.1895895,1242405667.7929688,1242405669.7929688,5.9477344,16300819,11.034044,1242405667.7954102,1242405669.7954102,5.9477344,14450305,9.719235,5.7854967,15.504732,6.484713572469081,0.5952625,0.29731134,0.29731134,25.2,22646,2.6025590896606445,27.56671905517578,1242405669.7817612,0.4533962905406952,0.7442852854728699,380.18438720703125,0.5704975724220276,5.720542907714844,4.738473892211914,5.171660900115967,-1.3741179704666138
1019,2.4615503e-07,52297.207,41.81576,47.258022,0.0,33.580883,1242406073.9956055,1242406075.9956055,16.839308,70829,33.25124,1242406074.0,1242406076.0,16.839308,62819,8.800643,1.9998533,10.800496,3.4723122857593443,0.22723944,0.06269996,0.0,25.0,192621,2.6728529930114746,6.124320983886719,1242406075.9825387,0.9585999846458435,0.6451616287231445,84.07758331298828,0.7162889838218689,3.613651990890503,2.019584894180298,2.998025894165039,-1.3294739723205566
1020,0.5225121,0.017414685,8.250347,8.970373,0.0,6.2453165,1242406183.099121,1242406185.099121,5.819358,9113467,6.4392247,1242406183.104004,1242406185.104004,5.819358,8078222,9.432193,6.0944138,15.526607,6.569184409149247,0.6461291,0.052289635,0.052289635,25.0,21924,8.14583683013916,6.8716959953308105,1242406185.0848012,0.2868484854698181,0.22950339317321777,911.160400390625,0.15744219720363617,2.7545979022979736,4.348566055297852,2.80588698387146,-1.2628690004348755
1021,2.4615503e-07,52297.207,13.151366,98.39414,0.0,88.12751,1242406369.734375,1242406371.734375,0.15186918,9847411,43.760128,1242406369.7421875,1242406371.7421875,0.15186918,8729184,96.17069,14.06358,110.23427,29.527035268304545,0.1462356,-0.64161783,-0.64161783,22.9,97393,113.99620056152344,20.588769912719727,1242406371.7413929,0.7019314169883728,0.028574349358677864,111.23560333251953,2.487056016921997,0.4779317080974579,1.3654429912567139,1.0749889612197876,-0.2208418995141983
1022,0.016552996,0.77124286,8.704133,10.5745735,0.0,9.147187,1242406690.4863281,1242406692.4863281,1.377262,15893635,5.305711,1242406690.4848633,1242406692.4848633,1.377262,14089020,99.0479,1.5043851,100.552284,8.00652724869927,0.015188461,-0.73309743,0.0,19.7,134729,39.03725051879883,85.05087280273438,1242406692.4712903,0.5166965126991272,0.6400207877159119,836.926513671875,1.802590012550354,4.757853031158447,5.52108097076416,3.237091064453125,-0.022435519844293594
